


  _____  _____   ____   _____ 
 |  __ \|  __ \ / __ \ / ____|          Powered by PROS for VEX V5
 | |__) | |__) | |  | | (___      Version:                          3.7.3
 |  ___/|  _  /| |  | |\___ \     Uptime:                        46.675 s
 | |    | | \ \| |__| |____) |    Compiled:          Jan 21 2023 09:41:44
 |_|    |_|  \_\\____/|_____/     Directory:       hool/2022/Vex Robotics


x, y, angle, reqX, reqY, reqAng, xPow, yPow, angPow
-3.484796, -4.035202, 4.066688, 103.484796, 104.035202, 4.066688, 127.000000, 127.000000, 127.000000
-3.485689, -4.035138, 4.060730, 103.485689, 104.035138, 4.060730, 127.000000, 127.000000, 22.333834
-3.486467, -4.035083, 4.055604, 103.486467, 104.035083, 4.055604, 127.000000, 127.000000, 62.887415
-3.487136, -4.035036, 4.068206, 103.487136, 104.035036, 4.068206, 127.000000, 127.000000, 123.917005
-3.485490, -4.035153, 4.090765, 103.485490, 104.035153, 4.090765, 127.000000, 127.000000, 127.000000
-3.482545, -4.035364, 4.190412, 103.482545, 104.035364, 4.190412, 127.000000, 127.000000, 127.000000
-3.469537, -4.036328, 4.435365, 103.469537, 104.036328, 4.435365, 127.000000, 127.000000, 127.000000
-3.437574, -4.038876, 4.816474, 103.437574, 104.038876, 4.816474, 127.000000, 127.000000, 127.000000
-3.387877, -4.043230, 5.267622, 103.387877, 104.043230, 5.267622, 127.000000, 127.000000, 127.000000
-3.329094, -4.048884, 5.756492, 103.329094, 104.048884, 5.756492, 127.000000, 127.000000, 127.000000
-3.265451, -4.055574, 6.270102, 103.265451, 104.055574, 6.270102, 127.000000, 127.000000, 127.000000
-3.141821, -3.566457, 6.825190, 103.141821, 103.566457, 6.825190, 127.000000, 127.000000, 127.000000
-3.069717, -3.575441, 7.432453, 103.069717, 103.575441, 7.432453, 127.000000, 127.000000, 127.000000
-2.990950, -3.586141, 8.102569, 102.990950, 103.586141, 8.102569, 127.000000, 127.000000, 127.000000
-2.904182, -3.599012, 8.845631, 102.904182, 103.599012, 8.845631, 127.000000, 127.000000, 127.000000
-2.808171, -3.614592, 9.667580, 102.808171, 103.614592, 9.667580, 127.000000, 127.000000, 127.000000
-2.702239, -3.633421, 10.558411, 102.702239, 103.633421, 10.558411, 127.000000, 127.000000, 127.000000
-2.587773, -3.655679, 11.475865, 102.587773, 103.655679, 11.475865, 127.000000, 127.000000, 127.000000
-2.366877, -3.191321, 12.398274, 102.366877, 103.191321, 12.398274, 127.000000, 127.000000, 127.000000
-2.249162, -3.218194, 13.334643, 102.249162, 103.218194, 13.334643, 127.000000, 127.000000, 127.000000
-2.130131, -3.247437, 14.287287, 102.130131, 103.247437, 14.287287, 127.000000, 127.000000, 127.000000
-2.009548, -3.279215, 15.262784, 102.009548, 103.279215, 15.262784, 127.000000, 127.000000, 127.000000
-1.886650, -3.313877, 16.274966, 101.886650, 103.313877, 16.274966, 127.000000, 127.000000, 127.000000
-1.759798, -3.352130, 17.328488, 101.759798, 103.352130, 17.328488, 127.000000, 127.000000, 127.000000
-2.427062, -2.611883, 18.420060, 102.427062, 102.611883, 18.420060, 127.000000, 127.000000, 127.000000
-2.291932, -2.658322, 19.538627, 102.291932, 102.658322, 19.538627, 127.000000, 127.000000, 127.000000
-2.154428, -2.708636, 20.677072, 102.154428, 102.708636, 20.677072, 127.000000, 127.000000, 127.000000
-2.015535, -2.762638, 21.827029, 102.015535, 102.762638, 21.827029, 127.000000, 127.000000, 127.000000
-1.685815, -2.357739, 22.992050, 101.685815, 102.357739, 22.992050, 127.000000, 127.000000, 127.000000
-1.546041, -2.418730, 24.165841, 101.546041, 102.418730, 24.165841, 127.000000, 127.000000, 127.000000
-1.406509, -2.483063, 25.347780, 101.406509, 102.483063, 25.347780, 127.000000, 127.000000, 127.000000
-1.267380, -2.550738, 26.538472, 101.267380, 102.550738, 26.538472, 127.000000, 127.000000, 127.000000
-1.128672, -2.621821, 27.746281, 101.128672, 102.621821, 27.746281, 127.000000, 127.000000, 127.000000
-0.752103, -2.256866, 28.955995, 100.752103, 102.256866, 28.955995, 127.000000, 127.000000, 127.000000
-0.614364, -2.334989, 30.190445, 100.614364, 102.334989, 30.190445, 127.000000, 127.000000, 127.000000
-0.475576, -2.417748, 31.450655, 100.475576, 102.417748, 31.450655, 127.000000, 127.000000, 127.000000
-0.335805, -2.505361, 32.723196, 100.335805, 102.505361, 32.723196, 127.000000, 127.000000, 127.000000
0.078270, -2.179340, 34.015218, 99.921730, 102.179340, 34.015218, 127.000000, 127.000000, 127.000000
0.217380, -2.275526, 35.326559, 99.782620, 102.275526, 35.326559, 127.000000, 127.000000, 127.000000
0.356283, -2.376379, 36.661824, 99.643717, 102.376379, 36.661824, 127.000000, 127.000000, 127.000000
0.495266, -2.482368, 38.009606, 99.504734, 102.482368, 38.009606, 127.000000, 127.000000, 127.000000
0.945493, -2.202331, 39.369343, 99.054507, 102.202331, 39.369343, 127.000000, 127.000000, 127.000000
1.081743, -2.316858, 40.741035, 98.918257, 102.316858, 40.741035, 127.000000, 127.000000, 127.000000
1.216372, -2.435662, 42.133123, 98.783628, 102.435662, 42.133123, 127.000000, 127.000000, 127.000000
1.689920, -2.192849, 43.530794, 98.310080, 102.192849, 43.530794, 127.000000, 127.000000, 127.000000
1.821016, -2.320466, 44.934577, 98.178984, 102.320466, 44.934577, 127.000000, 127.000000, 127.000000
1.949499, -2.451836, 46.349602, 98.050501, 102.451836, 46.349602, 127.000000, 127.000000, 127.000000
2.075688, -2.587427, 47.786767, 97.924312, 102.587427, 47.786767, 127.000000, 127.000000, 127.000000
2.574839, -2.397061, 49.234156, 97.425161, 102.397061, 49.234156, 127.000000, 127.000000, 127.000000
2.696730, -2.542108, 50.665673, 97.303270, 102.542108, 50.665673, 127.000000, 127.000000, 127.000000
2.813683, -2.688516, 52.112759, 97.186317, 102.688516, 52.112759, 127.000000, 127.000000, 127.000000
3.326569, -2.537422, 53.590044, 96.673431, 102.537422, 53.590044, 127.000000, 127.000000, 127.000000
3.439333, -2.694516, 55.037950, 96.560667, 102.694516, 55.037950, 127.000000, 127.000000, 127.000000
2.983336, -2.024496, 56.481526, 97.016664, 102.024496, 56.481526, 127.000000, 127.000000, 127.000000
3.085690, -2.183338, 57.954174, 96.914310, 102.183338, 57.954174, 127.000000, 127.000000, 127.000000
3.613051, -2.088204, 59.417563, 96.386949, 102.088204, 59.417563, 127.000000, 127.000000, 127.000000
3.708397, -2.254347, 60.807927, 96.291603, 102.254347, 60.807927, 127.000000, 127.000000, 127.000000
3.795230, -2.414295, 62.132141, 96.204770, 102.414295, 62.132141, 127.000000, 127.000000, 127.000000
3.874479, -2.568457, 63.433766, 96.125521, 102.568457, 63.433766, 127.000000, 127.000000, 127.000000
3.961620, -1.603744, 64.748473, 96.038380, 101.603744, 64.748473, 127.000000, 127.000000, 127.000000
4.033243, -1.760226, 66.055073, 95.966757, 101.760226, 66.055073, 127.000000, 127.000000, 127.000000
4.100872, -1.917321, 67.313780, 95.899128, 101.917321, 67.313780, 127.000000, 127.000000, 127.000000
4.626151, -1.882263, 68.542312, 95.373849, 101.882263, 68.542312, 127.000000, 127.000000, 127.000000
4.683371, -2.032553, 69.807846, 95.316629, 102.032553, 69.807846, 127.000000, 127.000000, 127.000000
4.404047, -1.246357, 71.075340, 95.595953, 101.246357, 71.075340, 127.000000, 127.000000, 127.000000
4.456118, -1.403889, 72.324012, 95.543882, 101.403889, 72.324012, 127.000000, 127.000000, 127.000000
4.982068, -1.413538, 73.568051, 95.017932, 101.413538, 73.568051, 127.000000, 127.000000, 127.000000
5.026434, -1.570222, 74.821615, 94.973566, 101.570222, 74.821615, 127.000000, 127.000000, 127.000000
4.816411, -0.761127, 76.088307, 95.183589, 100.761127, 76.088307, 127.000000, 127.000000, 127.000000
4.854494, -0.922504, 77.361500, 95.145506, 100.922504, 77.361500, 127.000000, 127.000000, 127.000000
4.889150, -1.085522, 78.634353, 95.110850, 101.085522, 78.634353, 127.000000, 127.000000, 127.000000
5.225260, -0.173623, 79.902562, 94.774740, 100.173623, 79.902562, 127.000000, 127.000000, 127.000000
5.252555, -0.337372, 81.164075, 94.747445, 100.337372, 81.164075, 127.000000, 127.000000, 127.000000
5.276122, -0.500813, 82.453617, 94.723878, 100.500813, 82.453617, 127.000000, 127.000000, 127.000000
5.176241, 0.324363, 83.752845, 94.823759, 99.675637, 83.752845, 127.000000, 127.000000, 127.000000
5.192829, 0.155106, 85.060932, 94.807171, 99.844894, 85.060932, 127.000000, 127.000000, 127.000000
5.205623, -0.015644, 86.385413, 94.794377, 100.015644, 86.385413, 127.000000, 127.000000, 127.000000
5.662384, 0.835637, 87.731805, 94.337616, 99.164363, 87.731805, 127.000000, 127.000000, 127.000000
5.667290, 0.659463, 89.098030, 94.332710, 99.340537, 89.098030, 127.000000, 127.000000, 127.000000
5.667973, 0.480626, 90.477055, 94.332027, 99.519374, 90.477055, 127.000000, 127.000000, 127.000000
5.684657, 1.299942, 91.852631, 94.315343, 98.700058, 91.852631, 127.000000, 127.000000, 127.000000
6.176184, 1.097895, 93.228310, 93.823816, 98.902105, 93.228310, 127.000000, 127.000000, 127.000000
6.232182, 1.915904, 94.608115, 93.767818, 98.084096, 94.608115, 127.000000, 127.000000, 127.000000
6.215505, 1.736060, 95.995868, 93.784495, 98.263940, 95.995868, 127.000000, 127.000000, 127.000000
6.194343, 1.555640, 97.392518, 93.805657, 98.444360, 97.392518, 127.000000, 127.000000, 127.000000
6.309355, 2.364685, 98.771201, 93.690645, 97.635315, 98.771201, 127.000000, 127.000000, 127.000000
6.772891, 2.104486, 100.137779, 93.227109, 97.895514, 100.137779, 127.000000, 127.000000, 127.000000
6.739307, 1.928783, 101.514784, 93.260693, 98.071217, 101.514784, 127.000000, 127.000000, 127.000000
6.912587, 2.730010, 102.915070, 93.087413, 97.269990, 102.915070, 127.000000, 127.000000, 127.000000
6.869438, 2.551864, 104.338676, 93.130562, 97.448136, 104.338676, 127.000000, 127.000000, 127.000000
6.821049, 2.371906, 105.772781, 93.178951, 97.628094, 105.772781, 127.000000, 127.000000, 127.000000
7.531045, 3.008851, 107.204270, 92.468955, 96.991149, 107.204270, 127.000000, 127.000000, 127.000000
7.473390, 2.830560, 108.636532, 92.526610, 97.169440, 108.636532, 127.000000, 127.000000, 127.000000
7.411261, 2.653671, 110.081613, 92.588739, 97.346329, 110.081613, 127.000000, 127.000000, 127.000000
7.699251, 3.411643, 111.533344, 92.300749, 96.588357, 111.533344, 127.000000, 127.000000, 127.000000
8.090007, 3.046375, 112.998811, 91.909993, 96.953625, 112.998811, 127.000000, 127.000000, 127.000000
8.415257, 3.786208, 114.466208, 91.584743, 96.213792, 114.466208, 127.000000, 127.000000, 127.000000
8.333473, 3.612407, 115.930750, 91.666527, 96.387593, 115.930750, 127.000000, 127.000000, 127.000000
8.247446, 3.441084, 117.384046, 91.752554, 96.558916, 117.384046, 127.000000, 127.000000, 127.000000
8.628987, 4.155328, 118.825259, 91.371013, 95.844672, 118.825259, 127.000000, 127.000000, 127.000000
8.970939, 3.744646, 120.254795, 91.029061, 96.255354, 120.254795, 127.000000, 127.000000, 127.000000
8.874647, 3.584196, 121.680904, 91.125353, 96.415804, 121.680904, 127.000000, 127.000000, 127.000000
9.310375, 4.270954, 123.116980, 90.689625, 95.729046, 123.116980, 127.000000, 127.000000, 127.000000
9.205706, 4.114807, 124.553507, 90.794294, 95.885193, 124.553507, 127.000000, 127.000000, 127.000000
9.097120, 3.961287, 125.995080, 90.902880, 96.038713, 125.995080, 127.000000, 127.000000, 127.000000
9.582153, 4.611632, 127.421946, 90.417847, 95.388368, 127.421946, 127.000000, 127.000000, 127.000000
9.466815, 4.464722, 128.835441, 90.533185, 95.535278, 128.835441, 127.000000, 127.000000, 127.000000
9.349018, 4.322038, 130.252173, 90.650982, 95.677962, 130.252173, 127.000000, 127.000000, 127.000000
10.260569, 4.609385, 131.665264, 89.739431, 95.390615, 131.665264, 127.000000, 127.000000, 127.000000
10.135908, 4.472730, 133.073767, 89.864092, 95.527270, 133.073767, 127.000000, 127.000000, 127.000000
10.008347, 4.339608, 134.477054, 89.991653, 95.660392, 134.477054, 127.000000, 127.000000, 127.000000
10.587363, 4.915023, 135.887266, 89.412637, 95.084977, 135.887266, 127.000000, 127.000000, 127.000000
10.453257, 4.788172, 137.298992, 89.546743, 95.211828, 137.298992, 127.000000, 127.000000, 127.000000
10.650451, 4.292931, 138.694719, 89.349549, 95.707069, 138.694719, 127.000000, 127.000000, 127.000000
11.270934, 4.824889, 140.076579, 88.729066, 95.175111, 140.076579, 127.000000, 127.000000, 127.000000
11.130823, 4.710485, 141.430795, 88.869177, 95.289515, 141.430795, 127.000000, 127.000000, 127.000000
11.780099, 5.215788, 142.826259, 88.219901, 94.784212, 142.826259, 127.000000, 127.000000, 127.000000
11.930459, 4.705143, 144.211145, 88.069541, 95.294857, 144.211145, 127.000000, 127.000000, 127.000000
11.782138, 4.600915, 145.506764, 88.217862, 95.399085, 145.506764, 127.000000, 127.000000, 127.000000
12.471824, 5.063412, 146.719629, 87.528176, 94.936588, 146.719629, 127.000000, 127.000000, 127.000000
12.338184, 4.977702, 147.940156, 87.661816, 95.022298, 147.940156, 127.000000, 127.000000, 127.000000
12.201887, 4.894344, 149.217074, 87.798113, 95.105656, 149.217074, 127.000000, 127.000000, 127.000000
12.922105, 5.312587, 150.508299, 87.077895, 94.687413, 150.508299, 127.000000, 127.000000, 127.000000
