


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.7.3     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Jan 21 2023 09:41:44     Directory:  hool/2022/Vex Robotics


x, y, angle, reqX, reqY, reqAng, xPow, yPow, angPow
-0.016775, -0.000065, 359.880624, 100.016775, 100.000065, 0.119376, 127.000000, 127.000000, 127.000000
-0.015626, -0.000062, 359.879351, 100.015626, 100.000062, 0.120649, 127.000000, 127.000000, 0.663609
-0.015793, -0.000063, 359.870931, 100.015793, 100.000063, 0.129069, 127.000000, 127.000000, 1.958596
-0.016895, -0.000065, 359.867962, 100.016895, 100.000065, 0.132038, 127.000000, 127.000000, 3.940557
-0.017284, -0.000066, 359.890507, 100.017284, 100.000066, 0.109493, 127.000000, 127.000000, 6.118943
-0.014332, -0.000061, 0.011183, 100.014332, 100.000061, 0.011183, 127.000000, 127.000000, 6.348944
0.001464, -0.000081, 0.326628, 99.998536, 100.000081, 0.326628, 127.000000, 127.000000, 16.307667
0.042754, -0.000430, 0.772055, 99.957246, 100.000430, 0.772055, 127.000000, 127.000000, 43.552644
0.101052, -0.001442, 1.298147, 99.898948, 100.001442, 1.298147, 127.000000, 127.000000, 95.741641
0.169891, -0.003318, 1.878358, 99.830109, 100.003318, 1.878358, 127.000000, 127.000000, 127.000000
0.245786, -0.006192, 2.506081, 99.754214, 100.006192, 2.506081, 127.000000, 127.000000, 127.000000
0.327856, -0.010234, 3.197537, 99.672144, 100.010234, 3.197537, 127.000000, 127.000000, 127.000000
0.418194, -0.015828, 3.967904, 99.581806, 100.015828, 3.967904, 127.000000, 127.000000, 127.000000
0.518744, -0.023482, 4.806687, 99.481256, 100.023482, 4.806687, 127.000000, 127.000000, 127.000000
0.628084, -0.033483, 5.708289, 99.371916, 100.033483, 5.708289, 127.000000, 127.000000, 127.000000
0.745422, -0.046146, 6.614729, 99.254578, 100.046146, 6.614729, 127.000000, 127.000000, 127.000000
0.863173, -0.060745, 7.496137, 99.136827, 100.060745, 7.496137, 127.000000, 127.000000, 127.000000
1.046485, 0.418534, 8.358604, 98.953515, 99.581466, 8.358604, 127.000000, 127.000000, 127.000000
1.158055, 0.401282, 9.228599, 98.841945, 99.598718, 9.228599, 127.000000, 127.000000, 127.000000
1.270322, 0.382165, 10.130590, 98.729678, 99.617835, 10.130590, 127.000000, 127.000000, 127.000000
1.386384, 0.360484, 11.069748, 98.613616, 99.639516, 11.069748, 127.000000, 127.000000, 127.000000
1.506835, 0.335892, 12.049211, 98.493165, 99.664108, 12.049211, 127.000000, 127.000000, 127.000000
1.631988, 0.308056, 13.065511, 98.368012, 99.691944, 13.065511, 127.000000, 127.000000, 127.000000
1.761306, 0.276834, 14.107353, 98.238694, 99.723166, 14.107353, 127.000000, 127.000000, 127.000000
2.019535, 0.726185, 15.184739, 97.980465, 99.273815, 15.184739, 127.000000, 127.000000, 127.000000
2.155288, 0.687967, 16.305740, 97.844712, 99.312033, 16.305740, 127.000000, 127.000000, 127.000000
2.295714, 0.645392, 17.452987, 97.704286, 99.354608, 17.452987, 127.000000, 127.000000, 127.000000
2.438517, 0.598919, 18.618418, 97.561483, 99.401081, 18.618418, 127.000000, 127.000000, 127.000000
2.582585, 0.548747, 19.789383, 97.417415, 99.451253, 19.789383, 127.000000, 127.000000, 127.000000
2.900354, 0.964098, 20.955965, 97.099646, 99.035902, 20.955965, 127.000000, 127.000000, 127.000000
3.042396, 0.908034, 22.145061, 96.957604, 99.091966, 22.145061, 127.000000, 127.000000, 127.000000
3.185949, 0.847868, 23.344287, 96.814051, 99.152132, 23.344287, 127.000000, 127.000000, 127.000000
3.329418, 0.784159, 24.549552, 96.670582, 99.215841, 24.549552, 127.000000, 127.000000, 127.000000
3.684740, 1.169695, 25.780801, 96.315260, 98.830305, 25.780801, 127.000000, 127.000000, 127.000000
3.829106, 1.098042, 27.026703, 96.170894, 98.901958, 27.026703, 127.000000, 127.000000, 127.000000
3.973570, 1.022359, 28.283588, 96.026430, 98.977641, 28.283588, 127.000000, 127.000000, 127.000000
4.117590, 0.942816, 29.565057, 95.882410, 99.057184, 29.565057, 127.000000, 127.000000, 127.000000
3.398334, 1.361530, 30.859866, 96.601666, 98.638470, 30.859866, 127.000000, 127.000000, 127.000000
3.804141, 1.699240, 32.177280, 96.195859, 98.300760, 32.177280, 127.000000, 127.000000, 127.000000
3.949037, 1.605732, 33.510039, 96.050963, 98.394268, 33.510039, 127.000000, 127.000000, 127.000000
4.093368, 1.507732, 34.848639, 95.906632, 98.492268, 34.848639, 127.000000, 127.000000, 127.000000
4.526466, 1.812902, 36.197853, 95.473534, 98.187098, 36.197853, 127.000000, 127.000000, 127.000000
4.667751, 1.706929, 37.560006, 95.332249, 98.293071, 37.560006, 127.000000, 127.000000, 127.000000
4.807794, 1.596562, 38.938086, 95.192206, 98.403438, 38.938086, 127.000000, 127.000000, 127.000000
4.946733, 1.481512, 40.335118, 95.053267, 98.518488, 40.335118, 127.000000, 127.000000, 127.000000
5.412928, 1.738619, 41.747276, 94.587072, 98.261381, 41.747276, 127.000000, 127.000000, 127.000000
5.549316, 1.613846, 43.159698, 94.450684, 98.386154, 43.159698, 127.000000, 127.000000, 127.000000
5.682612, 1.485725, 44.568563, 94.317388, 98.514275, 44.568563, 127.000000, 127.000000, 127.000000
6.167627, 1.706566, 45.983792, 93.832373, 98.293434, 45.983792, 127.000000, 127.000000, 127.000000
6.294698, 1.571763, 47.414086, 93.705302, 98.428237, 47.414086, 127.000000, 127.000000, 127.000000
6.419662, 1.432345, 48.866186, 93.580338, 98.567655, 48.866186, 127.000000, 127.000000, 127.000000
6.542875, 1.287609, 50.305128, 93.457125, 98.712391, 50.305128, 127.000000, 127.000000, 127.000000
7.050058, 1.455670, 51.755589, 92.949942, 98.544330, 51.755589, 127.000000, 127.000000, 127.000000
