x, y, angle, reqX, reqY, reqAng, xPow, yPow, angPow
-0.016884, -0.000065, 359.869770, 25.016884, 36.000065, 0.130230, 127.000000, 127.000000, 127.000000
-0.017047, -0.000066, 359.861266, 25.017047, 36.000066, 0.138734, 127.000000, 127.000000, 0.763293
-0.018160, -0.000068, 359.865029, 25.018160, 36.000068, 0.134971, 127.000000, 127.000000, 2.110808
-0.017668, -0.000067, 359.867053, 25.017668, 36.000067, 0.132947, 127.000000, 127.000000, 4.104038
-0.017403, -0.000067, 359.859944, 25.017403, 36.000067, 0.140056, 127.000000, 127.000000, 6.908781
-0.018333, -0.000069, 359.825604, 25.018333, 36.000069, 0.174396, 127.000000, 127.000000, 11.286009
-0.022828, -0.000084, 359.769272, 25.022828, 36.000084, 0.230728, 127.000000, 127.000000, 18.236096
-0.030202, -0.000117, 359.736014, 25.030202, 36.000117, 0.263986, 127.000000, 127.000000, 27.492108
-0.034555, -0.000139, 359.707926, 25.034555, 36.000139, 0.292074, 127.000000, 127.000000, 39.189066
-0.038232, -0.000158, 359.704091, 25.038232, 36.000158, 0.295909, 127.000000, 127.000000, 52.506815
-0.038734, -0.000161, 359.728798, 25.038734, 36.000161, 0.271202, 127.000000, 127.000000, 66.054491
-0.035500, -0.000146, 359.760720, 25.035500, 36.000146, 0.239280, 127.000000, 127.000000, 79.198912
-0.031321, -0.000130, 359.788651, 25.031321, 36.000130, 0.211349, 127.000000, 127.000000, 91.865907
-0.027665, -0.000117, 359.827783, 25.027665, 36.000117, 0.172217, 127.000000, 127.000000, 103.040421
-0.022543, -0.000104, 359.894771, 25.022543, 36.000104, 0.105229, 127.000000, 127.000000, 110.372873
-0.013774, -0.000093, 359.970733, 25.013774, 36.000093, 0.029267, 127.000000, 127.000000, 112.529934
-0.003831, -0.000094, 0.034792, 25.003831, 36.000094, 0.034792, 127.000000, 127.000000, 115.316257
0.004555, -0.000104, 0.079262, 24.995445, 36.000104, 0.079262, 127.000000, 127.000000, 122.075838
0.010376, -0.000114, 0.105570, 24.989624, 36.000114, 0.105570, 127.000000, 127.000000, 127.000000
0.013819, -0.000121, 0.123865, 24.986181, 36.000121, 0.123865, 127.000000, 127.000000, 127.000000
0.016214, -0.000127, 0.154661, 24.983786, 36.000127, 0.154661, 127.000000, 127.000000, 127.000000
0.021729, 0.499859, 0.208023, 24.978271, 35.500141, 0.208023, 127.000000, 127.000000, 127.000000
1.028706, 0.495734, 0.261123, 23.971294, 35.504266, 0.261123, 127.000000, 127.000000, 127.000000
1.035657, 0.495699, 0.310525, 23.964343, 35.504301, 0.310525, 127.000000, 127.000000, 127.000000
1.045049, 0.995653, 0.338463, 23.954951, 35.004347, 0.338463, 127.000000, 127.000000, 127.000000
1.048706, 0.995630, 0.354762, 23.951294, 35.004370, 0.354762, 127.000000, 127.000000, 127.000000
1.050839, 0.995617, 0.368231, 23.949161, 35.004383, 0.368231, 127.000000, 127.000000, 127.000000
1.052602, 0.995605, 0.382452, 23.947398, 35.004395, 0.382452, 127.000000, 127.000000, 127.000000
1.057863, 1.495581, 0.396344, 23.942137, 34.504419, 0.396344, 127.000000, 127.000000, 127.000000
1.059682, 1.495568, 0.410313, 23.940318, 34.504432, 0.410313, 127.000000, 127.000000, 127.000000
2.061484, 1.488272, 0.418839, 22.938516, 34.511728, 0.418839, 127.000000, 127.000000, 127.000000
2.062600, 1.488263, 0.424914, 22.937400, 34.511737, 0.424914, 127.000000, 127.000000, 127.000000
2.067129, 1.988243, 0.427603, 22.932871, 34.011757, 0.427603, 127.000000, 127.000000, 127.000000
2.067481, 1.988241, 0.444975, 22.932519, 34.011759, 0.444975, 127.000000, 127.000000, 127.000000
2.073714, 2.488207, 0.437289, 22.926286, 33.511793, 0.437289, 127.000000, 127.000000, 127.000000
3.072679, 2.480650, 0.432372, 21.927321, 33.519350, 0.432372, 127.000000, 127.000000, 127.000000
3.072036, 2.480655, 0.421431, 21.927964, 33.519345, 0.421431, 127.000000, 127.000000, 127.000000
3.070604, 2.480665, 0.405213, 21.929396, 33.519335, 0.405213, 127.000000, 127.000000, 127.000000
